event_id,source_state,kind,pathway,temperature_K,barrier_eV,prefactor_s,rate_s,activation_free_energy_eV,status
des_pre_SiHF2,pre_SiHF2_HF,desorption,,325.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P3e,pre_SiHF2_HF,reaction,P3e,325.0,0.96,1000000000000.0,0.0012979877418099694,,conditional_Ea_and_assumed_prefactor
ads_Si_Si_F1,Si_Si_F1,adsorption,,325.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_Si_Si_F1,Si_Si_F1_HF,desorption,,325.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P2f,Si_Si_F1_HF,reaction,P2f,325.0,0.79,1000000000000.0,0.5616454658485356,,conditional_Ea_and_assumed_prefactor
ads_bridge_NH_F0,bridge_NH_F0,adsorption,,350.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_bridge_NH_F0,bridge_NH_F0_HF,desorption,,350.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P1c_bridge_NH,bridge_NH_F0_HF,reaction,P1c,350.0,0.02,1000000000000.0,515243682032.9933,,conditional_Ea_and_assumed_prefactor
ads_bridge_NH_F1,bridge_NH_F1,adsorption,,350.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_bridge_NH_F1,bridge_NH_F1_HF,desorption,,350.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P2c_bridge_NH,bridge_NH_F1_HF,reaction,P2c,350.0,0.79,1000000000000.0,4.212119340348392,,conditional_Ea_and_assumed_prefactor
ads_bridge_NH_F2,bridge_NH_F2,adsorption,,350.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_bridge_NH_F2,bridge_NH_F2_HF,desorption,,350.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P3c_bridge_NH,bridge_NH_F2_HF,reaction,P3c,350.0,0.74,1000000000000.0,22.103903687420896,,conditional_Ea_and_assumed_prefactor
ads_bridge_NH_F3,bridge_NH_F3,adsorption,,350.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_bridge_NH_F3,bridge_NH_F3_HF,desorption,,350.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P4_bridge_NH,bridge_NH_F3_HF,reaction,P4,350.0,0.53,1000000000000.0,23352.634967289338,,conditional_Ea_and_assumed_prefactor
ads_terminal_NH2_F0,terminal_NH2_F0,adsorption,,350.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_terminal_NH2_F0,terminal_NH2_F0_HF,desorption,,350.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P1a_terminal_NH2,terminal_NH2_F0_HF,reaction,P1a,350.0,0.45,1000000000000.0,331348.6383877729,,conditional_Ea_and_assumed_prefactor
ads_terminal_NH2_F1,terminal_NH2_F1,adsorption,,350.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_terminal_NH2_F1,terminal_NH2_F1_HF,desorption,,350.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P2a_terminal_NH2,terminal_NH2_F1_HF,reaction,P2a,350.0,0.68,1000000000000.0,161.59612939868737,,conditional_Ea_and_assumed_prefactor
ads_terminal_NH2_F2,terminal_NH2_F2,adsorption,,350.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_terminal_NH2_F2,terminal_NH2_F2_HF,desorption,,350.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P3a_terminal_NH2,terminal_NH2_F2_HF,reaction,P3a,350.0,0.88,1000000000000.0,0.21308736815214502,,conditional_Ea_and_assumed_prefactor
ads_terminal_NH2_F3,terminal_NH2_F3,adsorption,,350.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_terminal_NH2_F3,terminal_NH2_F3_HF,desorption,,350.0,,,100.0,,assumed_adsorption_or_desorption_hazard
ads_Si_H_rich_F0,Si_H_rich_F0,adsorption,,350.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_Si_H_rich_F0,Si_H_rich_F0_HF,desorption,,350.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P1b_Si_H_rich,Si_H_rich_F0_HF,reaction,P1b,350.0,2.1,1000000000000.0,5.772060679056848e-19,,conditional_Ea_and_assumed_prefactor
ads_Si_H_rich_F1,Si_H_rich_F1,adsorption,,350.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_Si_H_rich_F1,Si_H_rich_F1_HF,desorption,,350.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P2b_Si_H_rich,Si_H_rich_F1_HF,reaction,P2b,350.0,1.8,1000000000000.0,1.2054265732734056e-14,,conditional_Ea_and_assumed_prefactor
ads_Si_H_rich_F2,Si_H_rich_F2,adsorption,,350.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_Si_H_rich_F2,Si_H_rich_F2_HF,desorption,,350.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P3b_Si_H_rich,Si_H_rich_F2_HF,reaction,P3b,350.0,1.54,1000000000000.0,6.683069607233889e-11,,conditional_Ea_and_assumed_prefactor
ads_Si_H_rich_F3,Si_H_rich_F3,adsorption,,350.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_Si_H_rich_F3,Si_H_rich_F3_HF,desorption,,350.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P4_Si_H_rich,Si_H_rich_F3_HF,reaction,P4,350.0,0.53,1000000000000.0,23352.634967289338,,conditional_Ea_and_assumed_prefactor
ads_bridge_N_F0,bridge_N_F0,adsorption,,350.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_bridge_N_F0,bridge_N_F0_HF,desorption,,350.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P1d_bridge_N,bridge_N_F0_HF,reaction,P1d,350.0,0.72,1000000000000.0,42.89990243103168,,conditional_Ea_and_assumed_prefactor
ads_bridge_N_F1,bridge_N_F1,adsorption,,350.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_bridge_N_F1,bridge_N_F1_HF,desorption,,350.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P2d_bridge_N,bridge_N_F1_HF,reaction,P2d,350.0,0.75,1000000000000.0,15.86628741312235,,conditional_Ea_and_assumed_prefactor
ads_bridge_N_F2,bridge_N_F2,adsorption,,350.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_bridge_N_F2,bridge_N_F2_HF,desorption,,350.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P3d_bridge_N,bridge_N_F2_HF,reaction,P3d,350.0,0.9,1000000000000.0,0.10979192016143108,,conditional_Ea_and_assumed_prefactor
ads_bridge_N_F3,bridge_N_F3,adsorption,,350.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_bridge_N_F3,bridge_N_F3_HF,desorption,,350.0,,,100.0,,assumed_adsorption_or_desorption_hazard
ads_pre_SiH2F,pre_SiH2F,adsorption,,350.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_pre_SiH2F,pre_SiH2F_HF,desorption,,350.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P2e,pre_SiH2F_HF,reaction,P2e,350.0,0.81,1000000000000.0,2.170267878083486,,conditional_Ea_and_assumed_prefactor
ads_pre_SiHF2,pre_SiHF2,adsorption,,350.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_pre_SiHF2,pre_SiHF2_HF,desorption,,350.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P3e,pre_SiHF2_HF,reaction,P3e,350.0,0.96,1000000000000.0,0.015017872259290629,,conditional_Ea_and_assumed_prefactor
ads_Si_Si_F1,Si_Si_F1,adsorption,,350.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_Si_Si_F1,Si_Si_F1_HF,desorption,,350.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P2f,Si_Si_F1_HF,reaction,P2f,350.0,0.79,1000000000000.0,4.212119340348392,,conditional_Ea_and_assumed_prefactor
ads_bridge_NH_F0,bridge_NH_F0,adsorption,,400.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_bridge_NH_F0,bridge_NH_F0_HF,desorption,,400.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P1c_bridge_NH,bridge_NH_F0_HF,reaction,P1c,400.0,0.02,1000000000000.0,559771896407.3301,,conditional_Ea_and_assumed_prefactor
ads_bridge_NH_F1,bridge_NH_F1,adsorption,,400.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_bridge_NH_F1,bridge_NH_F1_HF,desorption,,400.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P2c_bridge_NH,bridge_NH_F1_HF,reaction,P2c,400.0,0.79,1000000000000.0,111.28537253351124,,conditional_Ea_and_assumed_prefactor
ads_bridge_NH_F2,bridge_NH_F2,adsorption,,400.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_bridge_NH_F2,bridge_NH_F2_HF,desorption,,400.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P3c_bridge_NH,bridge_NH_F2_HF,reaction,P3c,400.0,0.74,1000000000000.0,474.69029984346963,,conditional_Ea_and_assumed_prefactor
ads_bridge_NH_F3,bridge_NH_F3,adsorption,,400.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_bridge_NH_F3,bridge_NH_F3_HF,desorption,,400.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P4_bridge_NH,bridge_NH_F3_HF,reaction,P4,400.0,0.53,1000000000000.0,210036.08008580416,,conditional_Ea_and_assumed_prefactor
ads_terminal_NH2_F0,terminal_NH2_F0,adsorption,,400.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_terminal_NH2_F0,terminal_NH2_F0_HF,desorption,,400.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P1a_terminal_NH2,terminal_NH2_F0_HF,reaction,P1a,400.0,0.45,1000000000000.0,2139190.895273177,,conditional_Ea_and_assumed_prefactor
ads_terminal_NH2_F1,terminal_NH2_F1,adsorption,,400.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_terminal_NH2_F1,terminal_NH2_F1_HF,desorption,,400.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P2a_terminal_NH2,terminal_NH2_F1_HF,reaction,P2a,400.0,0.68,1000000000000.0,2706.307149952013,,conditional_Ea_and_assumed_prefactor
ads_terminal_NH2_F2,terminal_NH2_F2,adsorption,,400.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_terminal_NH2_F2,terminal_NH2_F2_HF,desorption,,400.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P3a_terminal_NH2,terminal_NH2_F2_HF,reaction,P3a,400.0,0.88,1000000000000.0,8.175004346930887,,conditional_Ea_and_assumed_prefactor
ads_terminal_NH2_F3,terminal_NH2_F3,adsorption,,400.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_terminal_NH2_F3,terminal_NH2_F3_HF,desorption,,400.0,,,100.0,,assumed_adsorption_or_desorption_hazard
ads_Si_H_rich_F0,Si_H_rich_F0,adsorption,,400.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_Si_H_rich_F0,Si_H_rich_F0_HF,desorption,,400.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P1b_Si_H_rich,Si_H_rich_F0_HF,reaction,P1b,400.0,2.1,1000000000000.0,3.4766784607758433e-15,,conditional_Ea_and_assumed_prefactor
ads_Si_H_rich_F1,Si_H_rich_F1,adsorption,,400.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_Si_H_rich_F1,Si_H_rich_F1_HF,desorption,,400.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P2b_Si_H_rich,Si_H_rich_F1_HF,reaction,P2b,400.0,1.8,1000000000000.0,2.0941036125070233e-11,,conditional_Ea_and_assumed_prefactor
ads_Si_H_rich_F2,Si_H_rich_F2,adsorption,,400.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_Si_H_rich_F2,Si_H_rich_F2_HF,desorption,,400.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P3b_Si_H_rich,Si_H_rich_F2_HF,reaction,P3b,400.0,1.54,1000000000000.0,3.9523371675109424e-08,,conditional_Ea_and_assumed_prefactor
ads_Si_H_rich_F3,Si_H_rich_F3,adsorption,,400.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_Si_H_rich_F3,Si_H_rich_F3_HF,desorption,,400.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P4_Si_H_rich,Si_H_rich_F3_HF,reaction,P4,400.0,0.53,1000000000000.0,210036.08008580416,,conditional_Ea_and_assumed_prefactor
ads_bridge_N_F0,bridge_N_F0,adsorption,,400.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_bridge_N_F0,bridge_N_F0_HF,desorption,,400.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P1d_bridge_N,bridge_N_F0_HF,reaction,P1d,400.0,0.72,1000000000000.0,848.0066664476681,,conditional_Ea_and_assumed_prefactor
ads_bridge_N_F1,bridge_N_F1,adsorption,,400.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_bridge_N_F1,bridge_N_F1_HF,desorption,,400.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P2d_bridge_N,bridge_N_F1_HF,reaction,P2d,400.0,0.75,1000000000000.0,355.15333934123225,,conditional_Ea_and_assumed_prefactor
ads_bridge_N_F2,bridge_N_F2,adsorption,,400.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_bridge_N_F2,bridge_N_F2_HF,desorption,,400.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P3d_bridge_N,bridge_N_F2_HF,reaction,P3d,400.0,0.9,1000000000000.0,4.5761376864196555,,conditional_Ea_and_assumed_prefactor
ads_bridge_N_F3,bridge_N_F3,adsorption,,400.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_bridge_N_F3,bridge_N_F3_HF,desorption,,400.0,,,100.0,,assumed_adsorption_or_desorption_hazard
ads_pre_SiH2F,pre_SiH2F,adsorption,,400.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_pre_SiH2F,pre_SiH2F_HF,desorption,,400.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P2e,pre_SiH2F_HF,reaction,P2e,400.0,0.81,1000000000000.0,62.294424025479806,,conditional_Ea_and_assumed_prefactor
ads_pre_SiHF2,pre_SiHF2,adsorption,,400.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_pre_SiHF2,pre_SiHF2_HF,desorption,,400.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P3e,pre_SiHF2_HF,reaction,P3e,400.0,0.96,1000000000000.0,0.8026613573888213,,conditional_Ea_and_assumed_prefactor
ads_Si_Si_F1,Si_Si_F1,adsorption,,400.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_Si_Si_F1,Si_Si_F1_HF,desorption,,400.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P2f,Si_Si_F1_HF,reaction,P2f,400.0,0.79,1000000000000.0,111.28537253351124,,conditional_Ea_and_assumed_prefactor
ads_bridge_NH_F0,bridge_NH_F0,adsorption,,450.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_bridge_NH_F0,bridge_NH_F0_HF,desorption,,450.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P1c_bridge_NH,bridge_NH_F0_HF,reaction,P1c,450.0,0.02,1000000000000.0,597048839362.7664,,conditional_Ea_and_assumed_prefactor
ads_bridge_NH_F1,bridge_NH_F1,adsorption,,450.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_bridge_NH_F1,bridge_NH_F1_HF,desorption,,450.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P2c_bridge_NH,bridge_NH_F1_HF,reaction,P2c,450.0,0.79,1000000000000.0,1420.3304831021026,,conditional_Ea_and_assumed_prefactor
ads_bridge_NH_F2,bridge_NH_F2,adsorption,,450.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_bridge_NH_F2,bridge_NH_F2_HF,desorption,,450.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P3c_bridge_NH,bridge_NH_F2_HF,reaction,P3c,450.0,0.74,1000000000000.0,5156.6156447512385,,conditional_Ea_and_assumed_prefactor
ads_bridge_NH_F3,bridge_NH_F3,adsorption,,450.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_bridge_NH_F3,bridge_NH_F3_HF,desorption,,450.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P4_bridge_NH,bridge_NH_F3_HF,reaction,P4,450.0,0.53,1000000000000.0,1159474.6244686688,,conditional_Ea_and_assumed_prefactor
ads_terminal_NH2_F0,terminal_NH2_F0,adsorption,,450.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_terminal_NH2_F0,terminal_NH2_F0_HF,desorption,,450.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P1a_terminal_NH2,terminal_NH2_F0_HF,reaction,P1a,450.0,0.45,1000000000000.0,9124767.65258491,,conditional_Ea_and_assumed_prefactor
ads_terminal_NH2_F1,terminal_NH2_F1,adsorption,,450.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_terminal_NH2_F1,terminal_NH2_F1_HF,desorption,,450.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P2a_terminal_NH2,terminal_NH2_F1_HF,reaction,P2a,450.0,0.68,1000000000000.0,24228.98307741083,,conditional_Ea_and_assumed_prefactor
ads_terminal_NH2_F2,terminal_NH2_F2,adsorption,,450.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_terminal_NH2_F2,terminal_NH2_F2_HF,desorption,,450.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P3a_terminal_NH2,terminal_NH2_F2_HF,reaction,P3a,450.0,0.88,1000000000000.0,139.45489752986578,,conditional_Ea_and_assumed_prefactor
ads_terminal_NH2_F3,terminal_NH2_F3,adsorption,,450.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_terminal_NH2_F3,terminal_NH2_F3_HF,desorption,,450.0,,,100.0,,assumed_adsorption_or_desorption_hazard
ads_Si_H_rich_F0,Si_H_rich_F0,adsorption,,450.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_Si_H_rich_F0,Si_H_rich_F0_HF,desorption,,450.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P1b_Si_H_rich,Si_H_rich_F0_HF,reaction,P1b,450.0,2.1,1000000000000.0,3.0271583200218987e-12,,conditional_Ea_and_assumed_prefactor
ads_Si_H_rich_F1,Si_H_rich_F1,adsorption,,450.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_Si_H_rich_F1,Si_H_rich_F1_HF,desorption,,450.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P2b_Si_H_rich,Si_H_rich_F1_HF,reaction,P2b,450.0,1.8,1000000000000.0,6.932458184436082e-09,,conditional_Ea_and_assumed_prefactor
ads_Si_H_rich_F2,Si_H_rich_F2,adsorption,,450.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_Si_H_rich_F2,Si_H_rich_F2_HF,desorption,,450.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P3b_Si_H_rich,Si_H_rich_F2_HF,reaction,P3b,450.0,1.54,1000000000000.0,5.659252860987772e-06,,conditional_Ea_and_assumed_prefactor
ads_Si_H_rich_F3,Si_H_rich_F3,adsorption,,450.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_Si_H_rich_F3,Si_H_rich_F3_HF,desorption,,450.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P4_Si_H_rich,Si_H_rich_F3_HF,reaction,P4,450.0,0.53,1000000000000.0,1159474.6244686688,,conditional_Ea_and_assumed_prefactor
ads_bridge_N_F0,bridge_N_F0,adsorption,,450.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_bridge_N_F0,bridge_N_F0_HF,desorption,,450.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P1d_bridge_N,bridge_N_F0_HF,reaction,P1d,450.0,0.72,1000000000000.0,8636.840581174127,,conditional_Ea_and_assumed_prefactor
ads_bridge_N_F1,bridge_N_F1,adsorption,,450.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_bridge_N_F1,bridge_N_F1_HF,desorption,,450.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P2d_bridge_N,bridge_N_F1_HF,reaction,P2d,450.0,0.75,1000000000000.0,3984.4620166340324,,conditional_Ea_and_assumed_prefactor
ads_bridge_N_F2,bridge_N_F2,adsorption,,450.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_bridge_N_F2,bridge_N_F2_HF,desorption,,450.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P3d_bridge_N,bridge_N_F2_HF,reaction,P3d,450.0,0.9,1000000000000.0,83.26138471365992,,conditional_Ea_and_assumed_prefactor
ads_bridge_N_F3,bridge_N_F3,adsorption,,450.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_bridge_N_F3,bridge_N_F3_HF,desorption,,450.0,,,100.0,,assumed_adsorption_or_desorption_hazard
ads_pre_SiH2F,pre_SiH2F,adsorption,,450.0,,,5.0,,assumed_adsorption_or_desorption_hazard
des_pre_SiH2F,pre_SiH2F_HF,desorption,,450.0,,,100.0,,assumed_adsorption_or_desorption_hazard
P2e,pre_SiH2F_HF,reaction,P2e,450.0,0.81,1000000000000.0,848.0066664476681,,conditional_Ea_and_assumed_prefactor
