temperature_K,event,kind,rate_s,source_pathway,barrier_eV,rate_status
325.0,ads_Si_H_rich_F0,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
325.0,des_Si_H_rich_F0,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
325.0,P1b_Si_H_rich,reaction,2.7244536123632034e-21,P1b,2.1,conditional_Ea_and_assumed_prefactor
325.0,ads_Si_H_rich_F1,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
325.0,des_Si_H_rich_F1,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
325.0,P2b_Si_H_rich,reaction,1.222875821101434e-16,P2b,1.8,conditional_Ea_and_assumed_prefactor
325.0,ads_Si_H_rich_F2,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
325.0,des_Si_H_rich_F2,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
325.0,P3b_Si_H_rich,reaction,1.3158455206794276e-12,P3b,1.54,conditional_Ea_and_assumed_prefactor
325.0,ads_Si_H_rich_F3,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
325.0,des_Si_H_rich_F3,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
325.0,P4_Si_H_rich,reaction,6043.448220123119,P4,0.53,conditional_Ea_and_assumed_prefactor
325.0,ads_bridge_N_F0,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
325.0,des_bridge_N_F0,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
325.0,P1d_bridge_N,reaction,6.838375479943866,P1d,0.72,conditional_Ea_and_assumed_prefactor
325.0,ads_bridge_N_F1,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
325.0,des_bridge_N_F1,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
325.0,P2d_bridge_N,reaction,2.342840102325841,P2d,0.75,conditional_Ea_and_assumed_prefactor
325.0,ads_bridge_N_F2,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
325.0,des_bridge_N_F2,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
325.0,P3d_bridge_N,reaction,0.011058371584918973,P3d,0.9,conditional_Ea_and_assumed_prefactor
325.0,ads_bridge_N_F3,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
325.0,des_bridge_N_F3,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
325.0,ads_pre_SiH2F,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
325.0,des_pre_SiH2F,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
325.0,P2e,reaction,0.2749932673619809,P2e,0.81,conditional_Ea_and_assumed_prefactor
325.0,ads_pre_SiHF2,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
325.0,des_pre_SiHF2,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
325.0,P3e,reaction,0.0012979877418099694,P3e,0.96,conditional_Ea_and_assumed_prefactor
325.0,ads_Si_Si_F1,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
325.0,des_Si_Si_F1,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
325.0,P2f,reaction,0.5616454658485356,P2f,0.79,conditional_Ea_and_assumed_prefactor
350.0,ads_bridge_NH_F0,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
350.0,des_bridge_NH_F0,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
350.0,P1c_bridge_NH,reaction,515243682032.9933,P1c,0.02,conditional_Ea_and_assumed_prefactor
350.0,ads_bridge_NH_F1,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
350.0,des_bridge_NH_F1,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
350.0,P2c_bridge_NH,reaction,4.212119340348392,P2c,0.79,conditional_Ea_and_assumed_prefactor
350.0,ads_bridge_NH_F2,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
350.0,des_bridge_NH_F2,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
350.0,P3c_bridge_NH,reaction,22.103903687420896,P3c,0.74,conditional_Ea_and_assumed_prefactor
350.0,ads_bridge_NH_F3,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
350.0,des_bridge_NH_F3,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
350.0,P4_bridge_NH,reaction,23352.634967289338,P4,0.53,conditional_Ea_and_assumed_prefactor
350.0,ads_terminal_NH2_F0,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
350.0,des_terminal_NH2_F0,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
350.0,P1a_terminal_NH2,reaction,331348.6383877729,P1a,0.45,conditional_Ea_and_assumed_prefactor
350.0,ads_terminal_NH2_F1,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
350.0,des_terminal_NH2_F1,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
350.0,P2a_terminal_NH2,reaction,161.59612939868737,P2a,0.68,conditional_Ea_and_assumed_prefactor
350.0,ads_terminal_NH2_F2,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
350.0,des_terminal_NH2_F2,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
350.0,P3a_terminal_NH2,reaction,0.21308736815214502,P3a,0.88,conditional_Ea_and_assumed_prefactor
350.0,ads_terminal_NH2_F3,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
350.0,des_terminal_NH2_F3,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
350.0,ads_Si_H_rich_F0,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
350.0,des_Si_H_rich_F0,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
350.0,P1b_Si_H_rich,reaction,5.772060679056848e-19,P1b,2.1,conditional_Ea_and_assumed_prefactor
350.0,ads_Si_H_rich_F1,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
350.0,des_Si_H_rich_F1,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
350.0,P2b_Si_H_rich,reaction,1.2054265732734056e-14,P2b,1.8,conditional_Ea_and_assumed_prefactor
350.0,ads_Si_H_rich_F2,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
350.0,des_Si_H_rich_F2,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
350.0,P3b_Si_H_rich,reaction,6.683069607233889e-11,P3b,1.54,conditional_Ea_and_assumed_prefactor
350.0,ads_Si_H_rich_F3,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
350.0,des_Si_H_rich_F3,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
350.0,P4_Si_H_rich,reaction,23352.634967289338,P4,0.53,conditional_Ea_and_assumed_prefactor
350.0,ads_bridge_N_F0,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
350.0,des_bridge_N_F0,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
350.0,P1d_bridge_N,reaction,42.89990243103168,P1d,0.72,conditional_Ea_and_assumed_prefactor
350.0,ads_bridge_N_F1,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
350.0,des_bridge_N_F1,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
350.0,P2d_bridge_N,reaction,15.86628741312235,P2d,0.75,conditional_Ea_and_assumed_prefactor
350.0,ads_bridge_N_F2,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
350.0,des_bridge_N_F2,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
350.0,P3d_bridge_N,reaction,0.10979192016143108,P3d,0.9,conditional_Ea_and_assumed_prefactor
350.0,ads_bridge_N_F3,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
350.0,des_bridge_N_F3,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
350.0,ads_pre_SiH2F,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
350.0,des_pre_SiH2F,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
350.0,P2e,reaction,2.170267878083486,P2e,0.81,conditional_Ea_and_assumed_prefactor
350.0,ads_pre_SiHF2,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
350.0,des_pre_SiHF2,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
350.0,P3e,reaction,0.015017872259290629,P3e,0.96,conditional_Ea_and_assumed_prefactor
350.0,ads_Si_Si_F1,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
350.0,des_Si_Si_F1,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
350.0,P2f,reaction,4.212119340348392,P2f,0.79,conditional_Ea_and_assumed_prefactor
400.0,ads_bridge_NH_F0,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
400.0,des_bridge_NH_F0,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
400.0,P1c_bridge_NH,reaction,559771896407.3301,P1c,0.02,conditional_Ea_and_assumed_prefactor
400.0,ads_bridge_NH_F1,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
400.0,des_bridge_NH_F1,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
400.0,P2c_bridge_NH,reaction,111.28537253351124,P2c,0.79,conditional_Ea_and_assumed_prefactor
400.0,ads_bridge_NH_F2,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
400.0,des_bridge_NH_F2,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
400.0,P3c_bridge_NH,reaction,474.69029984346963,P3c,0.74,conditional_Ea_and_assumed_prefactor
400.0,ads_bridge_NH_F3,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
400.0,des_bridge_NH_F3,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
400.0,P4_bridge_NH,reaction,210036.08008580416,P4,0.53,conditional_Ea_and_assumed_prefactor
400.0,ads_terminal_NH2_F0,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
400.0,des_terminal_NH2_F0,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
400.0,P1a_terminal_NH2,reaction,2139190.895273177,P1a,0.45,conditional_Ea_and_assumed_prefactor
400.0,ads_terminal_NH2_F1,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
400.0,des_terminal_NH2_F1,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
400.0,P2a_terminal_NH2,reaction,2706.307149952013,P2a,0.68,conditional_Ea_and_assumed_prefactor
400.0,ads_terminal_NH2_F2,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
400.0,des_terminal_NH2_F2,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
400.0,P3a_terminal_NH2,reaction,8.175004346930887,P3a,0.88,conditional_Ea_and_assumed_prefactor
400.0,ads_terminal_NH2_F3,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
400.0,des_terminal_NH2_F3,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
400.0,ads_Si_H_rich_F0,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
400.0,des_Si_H_rich_F0,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
400.0,P1b_Si_H_rich,reaction,3.4766784607758433e-15,P1b,2.1,conditional_Ea_and_assumed_prefactor
400.0,ads_Si_H_rich_F1,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
400.0,des_Si_H_rich_F1,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
400.0,P2b_Si_H_rich,reaction,2.0941036125070233e-11,P2b,1.8,conditional_Ea_and_assumed_prefactor
400.0,ads_Si_H_rich_F2,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
400.0,des_Si_H_rich_F2,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
400.0,P3b_Si_H_rich,reaction,3.9523371675109424e-08,P3b,1.54,conditional_Ea_and_assumed_prefactor
400.0,ads_Si_H_rich_F3,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
400.0,des_Si_H_rich_F3,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
400.0,P4_Si_H_rich,reaction,210036.08008580416,P4,0.53,conditional_Ea_and_assumed_prefactor
400.0,ads_bridge_N_F0,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
400.0,des_bridge_N_F0,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
400.0,P1d_bridge_N,reaction,848.0066664476681,P1d,0.72,conditional_Ea_and_assumed_prefactor
400.0,ads_bridge_N_F1,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
400.0,des_bridge_N_F1,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
400.0,P2d_bridge_N,reaction,355.15333934123225,P2d,0.75,conditional_Ea_and_assumed_prefactor
400.0,ads_bridge_N_F2,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
400.0,des_bridge_N_F2,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
400.0,P3d_bridge_N,reaction,4.5761376864196555,P3d,0.9,conditional_Ea_and_assumed_prefactor
400.0,ads_bridge_N_F3,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
400.0,des_bridge_N_F3,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
400.0,ads_pre_SiH2F,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
400.0,des_pre_SiH2F,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
400.0,P2e,reaction,62.294424025479806,P2e,0.81,conditional_Ea_and_assumed_prefactor
400.0,ads_pre_SiHF2,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
400.0,des_pre_SiHF2,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
400.0,P3e,reaction,0.8026613573888213,P3e,0.96,conditional_Ea_and_assumed_prefactor
400.0,ads_Si_Si_F1,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
400.0,des_Si_Si_F1,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
400.0,P2f,reaction,111.28537253351124,P2f,0.79,conditional_Ea_and_assumed_prefactor
450.0,ads_bridge_NH_F0,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
450.0,des_bridge_NH_F0,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
450.0,P1c_bridge_NH,reaction,597048839362.7664,P1c,0.02,conditional_Ea_and_assumed_prefactor
450.0,ads_bridge_NH_F1,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
450.0,des_bridge_NH_F1,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
450.0,P2c_bridge_NH,reaction,1420.3304831021026,P2c,0.79,conditional_Ea_and_assumed_prefactor
450.0,ads_bridge_NH_F2,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
450.0,des_bridge_NH_F2,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
450.0,P3c_bridge_NH,reaction,5156.6156447512385,P3c,0.74,conditional_Ea_and_assumed_prefactor
450.0,ads_bridge_NH_F3,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
450.0,des_bridge_NH_F3,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
450.0,P4_bridge_NH,reaction,1159474.6244686688,P4,0.53,conditional_Ea_and_assumed_prefactor
450.0,ads_terminal_NH2_F0,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
450.0,des_terminal_NH2_F0,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
450.0,P1a_terminal_NH2,reaction,9124767.65258491,P1a,0.45,conditional_Ea_and_assumed_prefactor
450.0,ads_terminal_NH2_F1,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
450.0,des_terminal_NH2_F1,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
450.0,P2a_terminal_NH2,reaction,24228.98307741083,P2a,0.68,conditional_Ea_and_assumed_prefactor
450.0,ads_terminal_NH2_F2,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
450.0,des_terminal_NH2_F2,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
450.0,P3a_terminal_NH2,reaction,139.45489752986578,P3a,0.88,conditional_Ea_and_assumed_prefactor
450.0,ads_terminal_NH2_F3,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
450.0,des_terminal_NH2_F3,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
450.0,ads_Si_H_rich_F0,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
450.0,des_Si_H_rich_F0,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
450.0,P1b_Si_H_rich,reaction,3.0271583200218987e-12,P1b,2.1,conditional_Ea_and_assumed_prefactor
450.0,ads_Si_H_rich_F1,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
450.0,des_Si_H_rich_F1,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
450.0,P2b_Si_H_rich,reaction,6.932458184436082e-09,P2b,1.8,conditional_Ea_and_assumed_prefactor
450.0,ads_Si_H_rich_F2,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
450.0,des_Si_H_rich_F2,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
450.0,P3b_Si_H_rich,reaction,5.659252860987772e-06,P3b,1.54,conditional_Ea_and_assumed_prefactor
450.0,ads_Si_H_rich_F3,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
450.0,des_Si_H_rich_F3,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
450.0,P4_Si_H_rich,reaction,1159474.6244686688,P4,0.53,conditional_Ea_and_assumed_prefactor
450.0,ads_bridge_N_F0,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
450.0,des_bridge_N_F0,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
450.0,P1d_bridge_N,reaction,8636.840581174127,P1d,0.72,conditional_Ea_and_assumed_prefactor
450.0,ads_bridge_N_F1,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
450.0,des_bridge_N_F1,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
450.0,P2d_bridge_N,reaction,3984.4620166340324,P2d,0.75,conditional_Ea_and_assumed_prefactor
450.0,ads_bridge_N_F2,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
450.0,des_bridge_N_F2,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
450.0,P3d_bridge_N,reaction,83.26138471365992,P3d,0.9,conditional_Ea_and_assumed_prefactor
450.0,ads_bridge_N_F3,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
450.0,des_bridge_N_F3,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
450.0,ads_pre_SiH2F,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
450.0,des_pre_SiH2F,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
450.0,P2e,reaction,848.0066664476681,P2e,0.81,conditional_Ea_and_assumed_prefactor
450.0,ads_pre_SiHF2,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
450.0,des_pre_SiHF2,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
450.0,P3e,reaction,17.72038709368695,P3e,0.96,conditional_Ea_and_assumed_prefactor
450.0,ads_Si_Si_F1,adsorption,5.0,,,assumed_adsorption_or_desorption_hazard
450.0,des_Si_Si_F1,desorption,100.0,,,assumed_adsorption_or_desorption_hazard
450.0,P2f,reaction,1420.3304831021026,P2f,0.79,conditional_Ea_and_assumed_prefactor
